Звернення,Код
"Прошу прибрати сміття на прибудинковій території.",0
"У під'їзді не працює освітлення, прохання усунути несправність.",0
"Не прибрано сходові клітини, сміття накопичується.",0
"Пропоную перевірити стан каналізаційних труб у підвалі.",0
"Вікна у під'їзді потребують ремонту.",0
"Не працює домофон у будинку, будь ласка, відремонтуйте.",0
"Забруднено дах будинку, потрібно очистити.",0
"Проблеми із опаленням у квартирі, батареї холодні.",0
"Протікає дах у під'їзді, терміново усунути.",0
"Тріщини на стінах під'їзду, потрібен ремонт.",0
"Не прибрано сніг на прибудинковій території.",0
"Проблеми з водостічними трубами на даху.",0
"Сходи у під'їзді слизькі, небезпечно для мешканців.",0
"Забруднені вентиляційні решітки у будинку.",0
"Проблеми із освітленням на сходах.",0
"Не працює ліфт у під'їзді, прохання терміново усунути.",0
"Зламана кнопка виклику ліфта, потрібен ремонт.",0
"Ліфт часто зупиняється між поверхами.",0
"Не працює водопостачання у під'їзді.",3
"Водопровідна труба протікає у квартирі.",3
"Вода подається рідко, тиск низький.",3
"Холодна вода не надходить у ванну кімнату.",3
"Скважина для води забруднена, потрібна очистка.",3
"Каналізаційна труба забита.",4
"Стічні води піднімаються у підвалі будинку.",4
"Вивіз стічних вод запізнюється, сильний запах.",4
"Неприємний запах у каналізаційній системі.",4
"Труби теплопостачання пошкоджені, батареї холодні.",5
"Опалення у квартирі працює нестабільно.",5
"Проблеми з гарячою водою, тиск низький.",5
"Теплова мережа потребує ремонту.",5
"Витік газу у під'їзді, небезпечно для мешканців.",6
"Газова плита не працює.",6
"Запах газу у квартирі, терміново перевірити.",6
"Проблеми з подачею газу у будинок.",6
"Відсутнє електропостачання у квартирі.",7
"Світло часто вимикається без попередження.",7
"Несправність лічильника електроенергії.",7
"Проблеми з електричною розеткою у під'їзді.",7
"Не працює ліфт, застрягання між поверхами.",8
"Ліфт дуже повільно піднімається.",8
"Немає сигналу кнопки виклику ліфта.",8
"Ліфт часто ламається, потрібно обслуговування.",8
"Автобусна зупинка не обладнана.",9
"Дороги в районі розбиті, небезпечні для руху.",9
"Немає дорожньої розмітки на перехресті.",9
"Сигнали світлофора не працюють.",9
"Не прибрано вулицю після ремонту.",10
"Зелені насадження потребують догляду.",10
"Бруківка на тротуарі пошкоджена.",10
"Немає лавок для відпочинку на вулиці.",10
"Дерева ростуть біля проводів, небезпечно.",11
"Трава не коситься на прибудинковій території.",11
"Сміття на газоні, потрібно прибрати.",11
"Небезпечні дерева не обрізані.",11
"Пожежна сигналізація не працює у будинку.",12
"Пожежні гідранти забруднені.",12
"Не працює оповіщення про пожежу.",12
"Вогнегасники в будинку відсутні або зіпсовані.",12
"Виклики поліції приходять із затримкою.",13
"Шумні сусіди порушують спокій.",13
"Вандалізм на прибудинковій території.",13
"Крадіжка велосипеда у дворі.",13
"Не дотримуються санітарні норми у дворі.",14
"Продукти у магазині з простроченим терміном.",14
"Сильний запах сміття на вулиці.",14
"Відсутня дезінфекція місць громадського користування.",14
"У школі не прибрано територію.",15
"Класи потребують ремонту.",15
"Відсутнє опалення у класах.",15
"Не працює вода у шкільних туалетах.",15
"Довгі черги на гарячу лінію.",16
"Не працює контакт-центр, не відповідають.",16
"Помилки у роботі сайту міської ради.",16
"Повільна обробка звернень.",16
"Сміття не вивозять вчасно.",17
"Водії не прибирають територію.",17
"Технічне обслуговування будинків відсутнє.",17
"Транспортні послуги не надаються.",17
"Не прибрано сміття у дворі, прохання вирішити.",0
"Ліфти часто ламаються, необхідний ремонт.",8
"Холодна вода не надходить у квартирі.",3
"Опалення у квартирі не працює.",5
"Запах газу у квартирі, терміново перевірити.",6
"Немає електропостачання у квартирі.",7
"Сходи слизькі, небезпечно для мешканців.",0
"Водостоки забиті, потрібне прочищення.",4
"Не працює світло на вулиці.",2
"Сквер не прибрано, траву не косили.",11
"Терміново потрібно перевірити пожежну сигналізацію.",12
"Шумні сусіди порушують спокій.",13
"У школі не працює опалення.",15
"Контакт-центр не відповідає на дзвінки.",16
"Не вивезено сміття у дворі.",17
"Освітлення у під'їзді не працює.",2
"Труби у підвалі протікають.",4
"Газова плита не працює.",6
"Проблеми з електролічильником.",7
"Дах протікає після дощу.",0
"Водопостачання відсутнє вранці.",3
"Несправність ліфта на 5 поверсі.",8
"Проблеми з гарячою водою.",5
"Відсутнє освітлення на вулиці.",2
"Дерева не обрізані, гілки впали на дорогу.",11
"Вогнегасники у будівлі відсутні.",12
"Поліція не приїхала на виклик.",13
"У лікарні відсутня вода.",15
"Не працює сайт міської ради.",16
"Технічне обслуговування будинків відсутнє.",17
"Вікна у під'їзді зіпсовані.",0
"Тиск води низький.",3
"Сквери потребують догляду.",11
"Не працює сигналізація пожежна.",12
"Крадіжка на території будинку.",13
"В школі немає гарячої води.",15
"Довгі черги на гарячу лінію.",16
"Сміття не вивезено.",17
"Дах потребує ремонту.",0
"Не працює водопровід.",3
"Сквер засмічений.",11
"Не працює оповіщення про пожежу.",12
"Вандалізм на прибудинковій території.",13
"Класи потребують ремонту.",15
"Сайт міської ради помилково працює.",16
"Вивіз сміття не здійснюється.",17
"Домофон не працює.",0
"Відсутня гаряча вода.",5
"Освітлення на вулиці вимкнене.",2
"Територія зелених насаджень засмічена.",11
"Вогнегасники відсутні.",12
"Шумні сусіди порушують спокій.",13
"В школі відсутнє опалення.",15
"Контакт-центр повільно обробляє звернення.",16
"Сміття не вивезли вчасно.",17
"Ліфт зупиняється між поверхами.",8
"Водопровідна труба протікає.",3
"Газова труба пошкоджена.",6
"Не працює електропостачання.",7
"Дах протікає.",0
"Холодна вода не надходить.",3
"Вулиці не освітлені.",2
"Не прибрано газони.",11
"Пожежна сигналізація не працює.",12
"Поліція запізнилася на виклик.",13
"Опалення у школі не працює.",15
"Гаряча лінія не відповідає.",16
"Вивіз сміття не здійснюється.",17
"Сходи у під'їзді брудні.",0
"Тиск води низький.",3
"Не працює освітлення на вулиці.",2
"Сквер потребує догляду.",11
"Вогнегасники відсутні.",12
"Шумні сусіди.",13
"В школі відсутнє опалення.",15
"Не відповідає контакт-центр.",16
"Сміття не вивезене.",17
"У дворі залишили сміття, потрібно прибрати.",0
"Ліфт застряг між поверхами, терміново полагодити.",8
"Вода холодна, не надходить у квартиру.",3
"Опалення не включається.",5
"Відчутний запах газу в квартирі.",6
"Відсутнє електропостачання у квартирі.",7
"Сходи слизькі, можна впасти.",0
"Водостік забитий, вода не йде.",4
"Світло на вулиці вимкнено.",2
"Сквер біля будинку занедбаний.",11
"Пожежні щити не перевірені.",12
"Гучні сусіди порушують спокій.",13
"У школі холодно, не працює опалення.",15
"Контакт-центр не відповідає на дзвінки.",16
"Сміття у дворі не вивезено.",17
"Світло у під'їзді не горить.",2
"Протікання труб у підвалі.",4
"Газова плита несправна.",6
"Проблеми з електропостачанням.",7
"Дах будинку протікає.",0
"Відсутнє водопостачання.",3
"Ліфт зупиняється на 5 поверсі.",8
"Гаряча вода не надходить.",5
"Вулиця темна, немає освітлення.",2
"Дерева не обрізані, гілки падають.",11
"Вогнегасники відсутні.",12
"Потрібна поліція для реагування.",13
"У лікарні відсутнє опалення.",15
"Сайт міської ради не працює.",16
"Не вивезено сміття вчасно.",17
"Пошкоджені вікна у під'їзді.",0
"Тиск води у крані низький.",3
"Газони не доглянуті.",11
"Пожежна сигналізація не активна.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Дзвінки на гарячу лінію ігноруються.",16
"Сміття залишилося на вулиці.",17
"Дах протікає після дощу.",0
"Відсутня вода у квартирі.",3
"Не працює освітлення на вулиці.",2
"Газони не прибрані.",11
"Вогнегасники не перевірені.",12
"Шумні сусіди порушують спокій.",13
"У школі холодно, опалення відсутнє.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Ліфт застряг.",8
"Протікає труба у підвалі.",3
"Газова труба пошкоджена.",6
"Відсутнє електропостачання.",7
"Дах потребує ремонту.",0
"Холодна вода не йде.",3
"На вулиці темно.",2
"Сквер потребує догляду.",11
"Вогнегасники відсутні.",12
"Шумні сусіди.",13
"В школі холодно, немає опалення.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Сходи слизькі.",0
"Низький тиск води.",3
"Вулиці не освітлені.",2
"Газони не прибрані.",11
"Не працює пожежна сигналізація.",12
"Крадіжка на території будинку.",13
"Опалення у класах не працює.",15
"Дзвінки на гарячу лінію без відповіді.",16
"Сміття залишилося на майданчику.",17
"У дворі накопичилося сміття, потрібно прибрати.",0
"Ліфт не працює, застряг на поверсі.",8
"Холодна вода не надходить у квартиру.",3
"Опалення у квартирі відсутнє.",5
"В квартирі відчувається запах газу.",6
"Світло у квартирі вимкнено.",7
"Під'їзд потребує прибирання.",0
"Забито каналізацію, вода не йде.",4
"Вуличне освітлення не працює.",2
"Сквер не прибрано.",11
"Пожежна сигналізація неактивна.",12
"Гучні сусіди порушують спокій.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає.",16
"Сміття у дворі залишилося.",17
"Світло у під'їзді не горить.",2
"Протікає труба у підвалі.",4
"Газова плита несправна.",6
"Відсутнє електропостачання.",7
"Дах будинку протікає.",0
"Відсутнє водопостачання.",3
"Ліфт зупиняється між поверхами.",8
"Гаряча вода не надходить.",5
"Темна вулиця, немає освітлення.",2
"Дерева не доглянуті.",11
"Вогнегасники не перевірені.",12
"Потрібна поліція для реагування.",13
"Опалення у лікарні не працює.",15
"Сайт міської ради не доступний.",16
"Сміття не вивезено.",17
"Пошкоджені вікна у під'їзді.",0
"Тиск води низький.",3
"Газони не доглянуті.",11
"Пожежні щити відсутні.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено вчасно.",17
"Ліфт застряг.",8
"Протікає труба у підвалі.",3
"Газова труба пошкоджена.",6
"Відсутнє електропостачання у квартирі.",7
"Дах потребує ремонту.",0
"Холодна вода не йде.",3
"На вулиці темно.",2
"Сквер не прибрано.",11
"Вогнегасники відсутні.",12
"Шумні сусіди порушують спокій.",13
"Опалення у школі не працює.",15
"Контакт-центр не відповідає на дзвінки.",16
"Сміття не вивезено.",17
"Сходи слизькі, небезпечно.",0
"Тиск води низький у крані.",3
"Вулиці не освітлені.",2
"Газони не прибрані.",11
"Не працює пожежна сигналізація.",12
"Крадіжка на території будинку.",13
"Опалення у класах не працює.",15
"Дзвінки на гарячу лінію без відповіді.",16
"Сміття залишилося на майданчику.",17
"Відсутнє освітлення у під’їзді.",2
"Сквер не доглянутий.",11
"Труби протікають у підвалі.",4
"Ліфт зупинився на поверсі.",8
"Газова плита не працює.",6
"Відсутнє електропостачання.",7
"Дах потребує термінового ремонту.",0
"Вода не надходить у квартиру.",3
"На вулиці темно, світло не працює.",2
"У під'їзді сміття, потрібно прибирання.",0
"Ліфт зупинився між поверхами.",8
"Відсутня холодна вода в квартирі.",3
"Опалення не працює в будинку.",5
"В квартирі запах газу.",6
"Електрика вимкнена у під’їзді.",7
"Двір забруднений, потрібно прибрати.",0
"Каналізація забита, вода не йде.",4
"Вуличне освітлення не працює.",2
"Сквер не доглянутий.",11
"Пожежне обладнання не працює.",12
"Порушення громадського порядку.",13
"Опалення у школі відсутнє.",15
"Телефон контакт-центру не відповідає.",16
"Сміття не вивезено.",17
"Світло у під’їзді не горить.",2
"Протікає труба у підвалі.",4
"Газова плита несправна.",6
"Відсутнє електропостачання.",7
"Дах протікає.",0
"Вода не надходить до кранів.",3
"Ліфт зупиняється між поверхами.",8
"Гаряча вода не йде.",5
"На вулиці темно.",2
"Дерева не доглянуті.",11
"Вогнегасники не перевірені.",12
"Потрібна поліція для реагування.",13
"Опалення у лікарні не працює.",15
"Контакт-центр не відповідає.",16
"Сміття не вивезено.",17
"Пошкоджені вікна у під’їзді.",0
"Тиск води низький.",3
"Газони не доглянуті.",11
"Пожежна сигналізація не працює.",12
"Крадіжка у дворі будинку.",13
"Опалення у школі не працює.",15
"Телефон міської ради не відповідає.",16
"Сміття не вивезено вчасно.",17
"Ліфт застряг на поверсі.",8
"Протікає труба у підвалі.",3
"Газова труба пошкоджена.",6
"Відсутнє електропостачання у квартирі.",7
"Дах потребує ремонту.",0
"Холодна вода не йде.",3
"На вулиці темно.",2
"Сквер не прибрано.",11
"Вогнегасники відсутні.",12
"Шумні сусіди порушують спокій.",13
"Опалення у класах не працює.",15
"Контакт-центр не відповідає на дзвінки.",16
"Сміття залишилося на майданчику.",17
"Відсутнє освітлення у під’їзді.",2
"Сквер не доглянутий.",11
"Труби протікають у підвалі.",4
"Ліфт зупинився на поверсі.",8
"Газова плита не працює.",6
"Електропостачання відсутнє.",7
"Дах потребує термінового ремонту.",0
"Вода не надходить у квартиру.",3
"На вулиці темно, світло не працює.",2
"Сміття не вивезено з двору.",17
"Ліфт потребує ремонту.",8
"Опалення у будинку не працює.",5
"Протікає труба на кухні.",4
"Відсутнє гаряче водопостачання.",5
"Газон на подвір’ї не доглянутий.",11
"Сигналізація не працює.",12
"Порушення порядку у дворі.",13
"Опалення у садку не працює.",15
"Контакт-центр не відповідає на запит.",16
"Сміття залишилося на майданчику.",17
"Сусіди не дотримуються правил прибирання під’їзду.",1
"Потрібна заміна ламп у загальному коридорі.",1
"Сходи забруднені, потрібно термінове прибирання.",1
"В під’їзді неприємний запах, прошу розібратися.",1
"Проблеми з освітленням у під’їзді.",1
"Не працює домофон у будинку.",1
"Ліфт часто зупиняється між поверхами.",1
"Забруднені сходові прольоти, потрібно прибрати.",1
"Відсутня гаряча вода у спільних кранах.",1
"Проблеми з опаленням у під’їзді.",1
"Скло в під’їзді пошкоджене, прошу замінити.",1
"Звукоізоляція між квартирами погана, багато шуму.",1
"Не працює кнопка виклику ліфта.",1
"Двері у під’їзді не зачиняються, небезпечно.",1
"Підлога у під’їзді мокра після дощу, потрібно прибрати.",1
"Відсутнє освітлення на сходовій клітці.",1
"Не прибрано сміття у загальних приміщеннях.",1
"Проблеми з вентиляцією у під’їзді.",1
"Несправна поштові скриньки, потрібно полагодити.",1
"Вхідні двері будинку зламані.",1
"Ліфт часто зупиняється, створює незручності.",1
"Не прибрано сніг перед під’їздом.",1
"Потрібне оновлення оголошень для мешканців.",1
"Проблеми з електропостачанням у коридорі.",1
"Сходи пошкоджені, потрібен ремонт.",1
"Відсутні поручні на сходах.",1
"Не прибрано сміття після ремонту у під’їзді.",1
"Відсутнє освітлення у підвалі будинку.",1
"Проблеми з опаленням у під’їзді після ремонту.",1
"Ліфт потребує технічного огляду.",1
"Протікання даху над квартирою на 5 поверсі, потрібен терміновий огляд",0
"У під'їзді не працює освітлення на трьох поверхах",0
"Потрібен ремонт вхідних дверей у під'їзд, зламався доводчик",0
"Сміттєпровід засмічений, потрібна прочистка",0
"Немає опалення у квартирі, батареї ледь теплі",0
"У підвалі будинку сильна вологість та запах сирості",0
"Несправна поштова скринька, потрібна заміна",0
"Потрібне прибирання снігу/льоду на прибудинковій території",0
"Нарахування за комунальні послуги не відповідають дійсності",0
"Пошкоджено міжпанельні шви, потрібна герметизація",0
"Потрібен ремонт або заміна лавки біля під'їзду №2",0
"У під'їзді розбито скло на вікні 4 поверху",0
"Прохання провести дезінсекцію від тарганів у підвалі",0
"Затоплення у підвалі через засмічення зливової каналізації",0
"Не працює вентиляція у ванній кімнаті",0
"Потрібен дозвіл на встановлення індивідуального лічильника тепла",1
"Прохання надати копію протоколу останніх зборів співвласників",1
"Не згодні з розміром внесків на утримання будинку",1
"Скарга на дії голови ОСББ щодо фінансових витрат",1
"Проблема з доступом до спільного майна (горище/підвал)",1
"Потрібна допомога в організації ремонту фасаду",1
"Вимагаємо переглянути договір на обслуговування ліфтів",1
"Потрібне встановлення відеоспостереження у дворі",1
"Не працює система контролю доступу (домофон)",1
"Запит на звіт про використання цільових внесків",1
"Сусід веде незаконну реконструкцію балкона",1
"Потрібне голосування щодо зміни управляючої компанії",1
"Не проводиться регулярне прибирання території",1
"Прохання про встановлення шлагбаума на в'їзді у двір",1
"Конфлікт щодо паркувальних місць у дворі",1
"Не працюють ліхтарі вуличного освітлення по вул. Перемоги",2
"Стовп освітлення похилився, існує загроза падіння",2
"Вуличні ліхтарі постійно горять вдень",2
"Потрібна заміна ламп на енергозберігаючі на центральній площі",2
"Прохання встановити додаткове освітлення біля школи №5",2
"Постійне мерехтіння вуличних ліхтарів у дворі",2
"Обрив проводу вуличного освітлення, небезпечна ситуація",2
"Потрібен ремонт світлофорного об'єкта на перехресті",2
"Вимкнення освітлення на час менший, ніж встановлено графіком",2
"Прохання про знесення аварійного стовпа",2
"Несправність підсвітки пам'ятника у парку",2
"Потрібне оновлення системи керування освітленням (таймери)",2
"Світловий шум від рекламних конструкцій заважає вночі",2
"Потрібне відновлення освітлення пішохідного переходу",2
"Запит на встановлення декоративного освітлення",2
"Прорив водопровідної труби на вулиці Грушевського",3
"Відсутність холодного водопостачання в усьому районі",3
"Вода з крана тече брудна, жовтого кольору",3
"Дуже низький тиск холодної води, неможливо користуватися",3
"Потрібна повірка та опломбування лічильника води",3
"Затоплення підвалу через зовнішній водопровід",3
"Витік води з колонки загального користування",3
"Потрібне перенесення точки підключення водопроводу",3
"Запит на аналіз якості питної води",3
"Пошкодження водопровідного колодязя (люк)",3
"Отримали квитанцію із завищеними показниками, потрібен перерахунок",3
"Тривалий ремонт водогону, немає інформації про терміни",3
"Потрібне тимчасове відключення води для ремонту в квартирі",3
"Пошкодження магістрального водопроводу біля мосту",3
"Вода має неприємний хімічний запах",3
"Засмічення каналізаційного колектора на вул. Соборній",4
"Затоплення двору стічними водами",4
"Неприємний запах каналізації на першому поверсі",4
"Потрібна термінова прочистка зовнішньої каналізаційної мережі",4
"Зливна яма переповнена, потрібне відкачування",4
"Не працює каналізаційний насос у житловому комплексі",4
"Прорив труби водовідведення у підвалі",4
"Потрібна заміна старого чавунного стояка",4
"Витік з каналізаційного люка на тротуарі",4
"Запит на підключення до центральної каналізації",4
"Проблема з прийомом дощової води у зливову мережу",4
"Несанкціонований скид відходів у каналізацію",4
"Постійне утворення заторів у дворових мережах",4
"Потрібна інспекція каналізаційних труб відеокамерою",4
"Затоплення підвалу нечистотами",4
"Повна відсутність опалення в будинку №10",5
"Батареї гріють погано, температура теплоносія недостатня",5
"Прорив теплотраси біля дитячого садочка",5
"Некоректно працює лічильник тепла на вході у будинок",5
"Потрібне регулювання системи опалення після ремонту",5
"Аварійне відключення гарячої води на невизначений термін",5
"Радіатор опалення протік, потрібен ремонт",5
"Сильний шум і стукіт у системі опалення",5
"Температура гарячої води нижче норми (менше 50°C)",5
"Отримали помилковий рахунок за послуги опалення",5
"Потрібна консультація щодо встановлення індивідуального опалення",5
"Надмірне споживання тепла за загальнобудинковим лічильником",5
"Теплові втрати через пошкоджену ізоляцію труб",5
"Немає інформації про початок опалювального сезону",5
"Потрібна чистка теплообмінника в будинку",5
"Сильний запах газу у під'їзді (аварійний виклик)",6
"Газова колонка вимикається самостійно",6
"Лічильник газу не працює/пошкоджений",6
"Потрібне відключення газу для проведення ремонту",6
"Прохання провести технічне обслуговування газової плити",6
"Потрібне встановлення сигналізатора загазованості",6
"Знижений тиск газу, плита ледь горить",6
"Потрібна заміна гнучкого газового шланга",6
"Опломбування лічильника після повірки",6
"Несанкціоноване підключення до газової мережі у сусідів",6
"Потрібен акт про відсутність газу для перерахунку",6
"Повідомлення про планове відключення газу не надходило",6
"Підозра на витік газу з вентиля",6
"Газовий котел видає помилку і не запускається",6
"Неправильне нарахування за транспортування газу",6
"Аварійне відключення електроенергії у кварталі",7
"Постійно 'вибиває' вхідний автомат у щитовій",7
"Сильне падіння напруги в мережі (менше 200В)",7
"Обрив високовольтного проводу, небезпека!",7
"Лічильник електроенергії постійно 'крутить' з високою швидкістю",7
"Потрібне підключення будинку до нової лінії",7
"Потрібна перевірка трансформаторної підстанції біля будинку",7
"Запах горілої електропроводки в розподільчому щитку",7
"Потрібна заміна старого кабелю від стовпа до будинку",7
"Відключили за несплату, хоча квитанція оплачена",7
"Запит на збільшення дозволеної потужності (кВт)",7
"Проблема з роботою багатотарифного лічильника",7
"Необхідне встановлення заземлення в приватному будинку",7
"Потрібне перенесення лічильника на фасад будинку",7
"Отримали акт про порушення, з яким не згодні",7
"Ліфт застряг між 3-м і 4-м поверхами, всередині люди",8
"Ліфт не викликається на 1-й поверх",8
"Сильний шум і вібрація під час руху ліфта",8
"Двері ліфта не відчиняються автоматично",8
"Постійні збої в роботі вантажного ліфта",8
"Потрібен ремонт кнопки виклику на 7-му поверсі",8
"Ліфт вимкнений без попередження",8
"У ліфтовій кабіні брудно і неприємний запах",8
"Потрібна заміна освітлення у кабіні ліфта",8
"Прохання про встановлення дзеркала/камери у ліфті",8
"Не працює дисплей індикації поверхів",8
"Запит на графік проведення технічного огляду",8
"Несправність системи екстреного зв'язку",8
"У шахті ліфта чути підозрілий стукіт",8
"Ліфт зупиняється вище/нижче рівня підлоги",8
"Ями та вибоїни на проїжджій частині вул. Коновальця",9
"Не працює світлофор на перехресті (або працює некоректно)",9
"Потрібен ремонт пішохідного переходу біля зупинки",9
"Прохання встановити 'лежачого поліцейського' біля школи",9
"Дорожні знаки пошкоджені/відсутні на ділянці дороги",9
"Потрібне нанесення дорожньої розмітки (зебра, лінії)",9
"Несанкціоноване розміщення тимчасових споруд на тротуарі",9
"Аварійний стан мосту/ шляхопроводу",9
"Необхідне встановлення дорожніх огороджень",9
"Потрібна зміна організації дорожнього руху на перехресті",9
"Невчасне прибирання снігу/піску з проїжджої частини",9
"Проблема з роботою світлофора для велосипедистів",9
"Затоплення дороги під час дощу, не працює злива",9
"Потрібне встановлення нового дорожнього дзеркала",9
"На дорозі виявлено розлив технічної рідини (масла)",9
"Стихійне сміттєзвалище біля житлового будинку",10
"Несанкціоноване розміщення рекламного банера",10
"Потрібне знесення незаконно встановлених МАФів",10
"Прохання прибрати великогабаритне сміття",10
"Пошкоджений дитячий майданчик у дворі",10
"Не працює фонтан у парку, потрібен ремонт",10
"Прохання провести дератизацію сміттєвих контейнерів",10
"Встановлення урн для сміття на зупинках",10
"Потрібне прибирання собачих екскрементів на газонах",10
"Аварійний паркан навколо будівельного майданчика",10
"Запит на встановлення елементів безбар'єрності (пандусів)",10
"Вулиця після дощу повна бруду і землі",10
"Пошкодження тротуарної плитки, небезпека падіння",10
"Потрібне очищення стін від графіті",10
"Незаконне перекриття проходу чи проїзду",10
"Необхідне кронування старих тополь біля будинку",11
"На газоні незаконно паркуються автомобілі",11
"Прохання висадити дерева вздовж алеї у парку",11
"Сухе дерево загрожує падінням на дитячий майданчик",11
"Потрібне видалення пнів після зрізаних дерев",11
"Служба не прибирає опале листя з території",11
"Пошкоджено квіткові клумби, потрібне відновлення",11
"Запит на виділення саджанців для озеленення двору",11
"Несанкціоноване знищення зелених насаджень",11
"Потрібне облаштування поливу в сквері",11
"Служба неправильно обрізала гілки дерев (занадто сильно)",11
"Розширення зони для вигулу собак",11
"Потрібна консультація щодо благоустрою зелених зон",11
"Пошкодження трави через ремонтні роботи",11
"Прохання про обробку від шкідників (комах) у парковій зоні",11
"Повідомлення про пожежу в житловому будинку (Терміново)",12
"Запах диму в під'їзді, джерело невідоме",12
"Потрібна допомога у відчиненні дверей (заблоковано)",12
"Автомобіль перекрив проїзд до пожежного гідранта",12
"Несправність системи пожежної сигналізації у школі",12
"Запит на перевірку пожежної безпеки будівлі",12
"Потрібне інформування населення про правила безпеки",12
"Проведення тренувань з евакуації для офісних працівників",12
"Пожежа на сміттєзвалищі за містом",12
"Повідомлення про залишену підозрілу валізу",12
"Затоплення підвалу через сильні опади",12
"Потрібна допомога у вилученні тварини з каналізаційного люка",12
"Аварія на дорозі, необхідне деблокування потерпілих",12
"Необхідна перевірка вогнегасників у приміщенні",12
"Повідомлення про розбитий термометр (ртуть)",12
"Крадіжка автомобіля, потрібна реєстрація заяви",13
"Шум від сусідів після 23:00, порушення тиші",13
"Конфлікт між сусідами, потрібне втручання",13
"Агресивна поведінка водія на дорозі",13
"Несанкціонована торгівля на тротуарі",13
"Потрібне патрулювання території біля дитячих майданчиків",13
"Запит на встановлення камери відеоспостереження",13
"Потрібна консультація щодо оформлення заяви",13
"Виявлено пошкодження комунального майна (вандалізм)",13
"Шахрайство з банківською карткою, потрібна допомога",13
"Виклик на домашнє насильство",13
"Муніципальна варта не реагує на незаконне паркування",13
"Потрібна допомога у пошуку зниклої людини",13
"Виявлення невідомих предметів на вулиці",13
"Проблема з роботою системи «Безпечне місто»",13
"Скарга на якість харчування у шкільній їдальні",14
"Повідомлення про укуси бродячих собак",14
"Необхідна дезінфекція дитячого садка після спалаху ГРВІ",14
"Прохання провести перевірку якості продуктів у магазині",14
"Відсутність ліків у комунальних аптеках",14
"Скарга на антисанітарію у громадському транспорті",14
"Потрібна вакцинація домашньої тварини",14
"Проведення санітарної обробки парку",14
"Несанкціонований продаж алкоголю неповнолітнім",14
"Отруєння невідомою речовиною, потрібна госпіталізація",14
"Перевірка дотримання карантинних норм у закладах",14
"Потрібна консультація щодо здоров'я дитини",14
"Запит на отримання медичної довідки",14
"Прохання про перевірку чистоти води з колодязя",14
"Не працює освітлення у лікарні №3",14
"Прохання про відкриття нової школи у районі",15
"Скарга на високу плату за навчання у дитячому садочку",15
"Недостатня кількість місць у дитячих садках",15
"Потрібна довідка про відвідування навчального закладу",15
"Запит на ремонт спортивного майданчика школи",15
"Проблема з отриманням путівки у літній табір",15
"Відсутність інклюзивного навчання для дитини",15
"Потрібна консультація щодо оформлення інвалідності",15
"Скарга на дії адміністрації навчального закладу",15
"Запит на виділення коштів для ремонту класу",15
"Не працює медичний кабінет у школі",15
"Потрібна інформація про програму "Доступні ліки"",15
"Проблема з електронним записом до лікаря",15
"Запит на організацію культурного заходу",15
"Скарга на некоректну поведінку лікаря",15
"Потрібна інформація про графік роботи мерії",16
"Не можу знайти потрібний відділ на сайті міської ради",16
"Прохання про надання фінансової допомоги (матеріальної)",16
"Скарга на тривале опрацювання звернення",16
"Запит на контактні дані керівника Департаменту",16
"Потрібна консультація з питань реєстрації підприємства",16
"Необхідний запис на особистий прийом до мера",16
"Запит на отримання копії рішення міської ради",16
"Не працює телефонна лінія Контакт-центру",16
"Потрібна допомога у складанні офіційної скарги",16
"Необхідність оскарження штрафу",16
"Проблема з отриманням довідки про власність",16
"Запит на інформацію про міські програми",16
"Складнощі з доступом до публічної інформації",16
"Повідомлення про корупцію серед чиновників",16
"Сміття не вивезли за графіком (приватна компанія)",17
"Водій автобуса був грубим і не дотримувався маршруту",17
"Неякісне технічне обслуговування котла (приватний майстер)",17
"Скарга на роботу приватної охоронної фірми",17
"Потрібен ремонт пластикових вікон (приватний підрядник)",17
"Занадто висока вартість послуг з вивозу сміття",17
"Працівники приватної компанії пошкодили газон",17
"Не надано акт виконаних робіт приватним ЖЕКом",17
"Проблема з гарантійним ремонтом від забудовника",17
"Потрібна консультація щодо роботи приватного транспорту",17
"Запит на договір з приватною компанією з обслуговування",17
"Водій таксі відмовив у перевезенні пільговика",17
"Невчасна доставка посилки (кур'єрська служба)",17
"Незаконне будівництво на приватній ділянці",17
"Пошкодження автомобіля співробітником автомийки",17